iter	RMSE
0	0.2892878824
1	0.2793400755
2	0.2699068384
3	0.2612631043
4	0.2531335083
5	0.2457016602
6	0.2381963632
7	0.2317084577
8	0.2252634991
9	0.2189865952
10	0.2127852461
11	0.207576041
12	0.2021954684
13	0.1969444926
14	0.1924392094
15	0.1874560699
16	0.1831650585
17	0.1789535583
18	0.1748315972
19	0.1708601112
20	0.1673846016
21	0.1637900212
22	0.1606729248
23	0.1571406866
24	0.1544362795
25	0.1514417131
26	0.148623607
27	0.1462635797
28	0.1437719254
29	0.1413152555
30	0.1389879268
31	0.1368569484
32	0.134569118
33	0.1326051001
34	0.1305563771
35	0.1287189621
36	0.127152768
37	0.1253229358
38	0.1237042114
39	0.1222745743
40	0.1208954866
41	0.1195144967
42	0.1181677426
43	0.1170445551
44	0.115678659
45	0.1145593261
46	0.1133260486
47	0.1123493391
48	0.111131092
49	0.1100106532
50	0.1091937943
51	0.1083192284
52	0.1075677565
53	0.1068434863
54	0.1059872248
55	0.1053172084
56	0.1044388178
57	0.1037219149
58	0.1029674371
59	0.1021910721
60	0.1015941849
61	0.1008704596
62	0.1002716639
63	0.09962859934
64	0.09894969844
65	0.09831381325
66	0.09777959512
67	0.09714527706
68	0.09661393902
69	0.09617652909
70	0.0956807712
71	0.09519043789
72	0.09474103585
73	0.09426895506
74	0.0937125532
75	0.09331894503
76	0.09271226907
77	0.0921734171
78	0.09165562618
79	0.09126412126
80	0.09077764671
81	0.09036003664
82	0.08990740893
83	0.08950345765
84	0.0890741254
85	0.08866038256
86	0.08834289839
87	0.08796871374
88	0.08762264801
89	0.08720373907
90	0.08685745299
91	0.0865693779
92	0.08622467479
93	0.08586090929
94	0.08552549664
95	0.08525959781
96	0.08501826669
97	0.0847396656
98	0.08448740133
99	0.08428172305
100	0.08409894013
101	0.08384332053
102	0.08360488978
103	0.08340094522
104	0.08314181549
105	0.08280870967
106	0.08255882398
107	0.08237179603
108	0.08217378465
109	0.08193756254
110	0.08173162288
111	0.08147781299
112	0.08131859848
113	0.08110775154
114	0.08091566334
115	0.08070089942
116	0.0804839042
117	0.08033093963
118	0.0801134456
119	0.07991911977
120	0.07962836598
121	0.07940591352
122	0.07922611256
123	0.07903566133
124	0.0788465013
125	0.07874031557
126	0.07855687073
127	0.07842125002
128	0.07819758118
129	0.07802727576
130	0.07787266361
131	0.07774107684
132	0.07762180374
133	0.0774442823
134	0.0773058332
135	0.07707765372
136	0.07694781514
137	0.07679248124
138	0.07664270847
139	0.07647110497
140	0.07629864032
141	0.07610539544
142	0.07595776899
143	0.07581916378
144	0.07569096076
145	0.07549308431
146	0.07531898437
147	0.07520403038
148	0.07505659121
149	0.07486562574
150	0.07473207751
151	0.07459523127
152	0.07450951462
153	0.07440202114
154	0.07428561149
155	0.07414310436
156	0.07396192136
157	0.07378368848
158	0.07364045656
159	0.07349265537
160	0.07339513216
161	0.07328766672
162	0.07314213058
163	0.07302385077
164	0.07287911138
165	0.07279965911
166	0.07268437254
167	0.07255477511
168	0.07252501567
169	0.07242046996
170	0.07226655404
171	0.07216826201
172	0.07204660365
173	0.07189905783
174	0.07175762901
175	0.07165409599
176	0.07155263165
177	0.07143440529
178	0.07134516536
179	0.07120406495
180	0.0710665292
181	0.07093532866
182	0.0709202177
183	0.0707660097
184	0.07065522447
185	0.07059179581
186	0.0705171308
187	0.07044423002
188	0.0703659633
189	0.07026956501
190	0.07014405847
191	0.07003130758
192	0.06993085895
193	0.0697695451
194	0.06963075884
195	0.06949311781
196	0.06936352885
197	0.06926775811
198	0.06919669644
199	0.0690737561
200	0.0690350916
201	0.06894370497
202	0.06884765647
203	0.06883444854
204	0.06882174644
205	0.06871830871
206	0.06861399509
207	0.06845529531
208	0.06838055576
209	0.06836630659
210	0.06835238944
211	0.06823249989
212	0.06813204234
213	0.06806008418
214	0.06790153034
215	0.06776132732
216	0.06772584607
217	0.06763387824
218	0.06752690335
219	0.06751527714
220	0.06739614242
221	0.06728769706
222	0.06717597633
223	0.06707939386
224	0.06700953545
225	0.06697404528
226	0.0669620486
227	0.06684503359
