iter	Passed	Remaining
283	1413	3563
284	1418	3557
285	1423	3552
286	1427	3546
287	1432	3542
288	1437	3536
289	1442	3532
290	1448	3529
291	1454	3525
292	1459	3521
293	1464	3516
294	1469	3511
295	1474	3506
296	1479	3502
297	1484	3497
298	1491	3497
299	1496	3492
300	1501	3486
301	1506	3481
302	1511	3477
303	1516	3472
304	1521	3468
305	1526	3463
306	1531	3458
307	1537	3453
308	1542	3448
309	1547	3443
310	1552	3438
311	1556	3433
312	1561	3427
313	1566	3422
314	1571	3417
315	1576	3412
316	1581	3407
317	1586	3402
318	1591	3397
319	1596	3391
320	1601	3386
321	1606	3381
322	1610	3376
323	1615	3371
324	1620	3365
325	1625	3360
326	1630	3355
327	1635	3350
328	1640	3345
329	1645	3340
330	1650	3336
331	1655	3331
332	1660	3326
333	1665	3321
334	1670	3316
335	1676	3312
336	1680	3306
337	1685	3302
338	1691	3297
339	1696	3292
340	1701	3287
341	1705	3282
342	1710	3277
343	1715	3271
344	1720	3266
345	1725	3261
346	1730	3256
347	1735	3251
348	1740	3246
349	1745	3241
350	1749	3235
351	1755	3230
352	1759	3225
353	1765	3220
354	1770	3216
355	1774	3210
356	1779	3205
357	1784	3200
358	1789	3195
359	1794	3190
360	1799	3185
361	1804	3180
362	1809	3174
363	1814	3169
364	1819	3164
365	1824	3160
366	1829	3155
367	1834	3150
368	1839	3145
369	1844	3140
370	1849	3136
371	1854	3131
372	1859	3126
373	1864	3121
374	1869	3116
375	1875	3112
376	1881	3108
377	1886	3103
378	1891	3099
379	1896	3093
380	1901	3089
381	1906	3084
382	1911	3079
383	1916	3074
384	1921	3069
385	1927	3065
386	1932	3061
387	1937	3056
388	1943	3051
389	1947	3046
390	1953	3042
391	1958	3037
392	1963	3032
393	1968	3027
394	1973	3022
395	1978	3017
396	1983	3012
397	1988	3007
398	1993	3002
399	1998	2997
400	2003	2992
401	2008	2987
402	2012	2981
403	2017	2976
404	2023	2972
405	2028	2967
406	2032	2961
407	2038	2957
408	2042	2952
409	2047	2947
410	2052	2942
411	2057	2937
412	2063	2932
413	2067	2926
414	2072	2921
415	2077	2916
416	2082	2911
417	2087	2906
418	2092	2901
419	2096	2895
420	2101	2890
421	2106	2884
422	2111	2879
423	2116	2874
424	2120	2869
425	2125	2864
426	2130	2859
427	2135	2853
428	2140	2848
429	2145	2843
430	2150	2838
431	2154	2833
432	2159	2828
433	2165	2823
434	2170	2818
435	2175	2813
436	2180	2808
437	2184	2803
438	2189	2798
439	2194	2793
440	2199	2788
441	2204	2782
442	2209	2777
443	2214	2772
444	2219	2767
445	2224	2762
446	2228	2757
447	2234	2752
448	2239	2747
449	2243	2742
450	2248	2737
451	2253	2732
452	2258	2727
453	2264	2722
454	2268	2717
455	2273	2712
456	2278	2707
457	2283	2702
458	2288	2696
459	2292	2691
460	2297	2686
461	2302	2681
462	2307	2676
463	2312	2671
464	2318	2667
465	2323	2662
466	2328	2657
467	2333	2652
468	2338	2647
469	2343	2642
470	2348	2637
471	2353	2632
472	2358	2627
473	2362	2622
474	2368	2617
475	2373	2612
476	2378	2607
477	2383	2602
478	2388	2597
479	2393	2592
480	2398	2587
481	2403	2583
482	2408	2577
483	2413	2573
484	2418	2568
485	2424	2564
486	2429	2559
487	2434	2554
488	2439	2549
489	2444	2544
490	2449	2539
491	2454	2534
492	2459	2529
493	2464	2524
494	2471	2521
495	2476	2516
496	2481	2511
497	2486	2506
498	2491	2501
499	2496	2496
500	2501	2491
501	2506	2486
502	2511	2481
503	2516	2476
504	2521	2471
505	2526	2466
506	2531	2461
507	2535	2455
508	2540	2450
509	2545	2445
510	2550	2440
511	2555	2435
512	2560	2430
513	2564	2425
514	2569	2420
515	2574	2415
516	2579	2410
517	2584	2404
518	2589	2399
519	2594	2394
520	2599	2389
521	2604	2384
522	2609	2379
523	2614	2374
524	2619	2370
525	2624	2365
526	2629	2360
527	2634	2354
528	2638	2349
529	2644	2344
530	2649	2340
531	2654	2335
532	2659	2329
533	2664	2324
534	2669	2319
535	2674	2314
536	2678	2309
537	2683	2304
538	2690	2301
539	2702	2301
540	2707	2296
541	2712	2291
542	2717	2287
543	2722	2281
544	2727	2276
545	2732	2271
546	2737	2266
547	2742	2262
548	2747	2256
549	2752	2252
550	2757	2246
551	2762	2241
552	2767	2236
553	2772	2231
554	2777	2226
555	2782	2221
556	2787	2216
557	2792	2211
558	2797	2206
559	2802	2201
560	2807	2196
561	2811	2191
562	2816	2186
563	2821	2181
564	2826	2176
565	2831	2171
566	2836	2166
567	2841	2161
568	2846	2156
569	2851	2151
570	2857	2146
571	2862	2141
572	2866	2136
573	2871	2131
574	2876	2126
575	2881	2121
576	2886	2116
577	2891	2111
578	2896	2106
579	2901	2101
580	2906	2096
581	2911	2091
582	2916	2086
583	2921	2081
584	2926	2076
585	2932	2071
586	2936	2066
587	2941	2061
588	2946	2056
589	2951	2051
590	2956	2046
591	2961	2041
592	2966	2036
593	2971	2031
594	2976	2026
595	2981	2021
596	2986	2016
597	2991	2011
598	2996	2006
599	3001	2001
600	3006	1996
601	3011	1991
602	3016	1985
603	3021	1980
604	3026	1975
605	3031	1970
606	3036	1966
607	3041	1961
608	3046	1955
609	3051	1950
610	3056	1945
611	3060	1940
612	3065	1935
613	3070	1930
614	3075	1925
615	3080	1920
616	3085	1915
617	3089	1909
618	3094	1904
619	3099	1899
620	3104	1894
621	3109	1889
622	3114	1884
623	3119	1879
624	3124	1874
625	3129	1869
626	3134	1864
627	3138	1859
628	3143	1854
629	3149	1849
630	3154	1844
631	3159	1839
632	3164	1834
633	3169	1829
634	3174	1824
635	3179	1819
636	3184	1814
637	3189	1809
638	3194	1804
639	3199	1799
640	3204	1794
641	3209	1789
642	3214	1784
643	3219	1779
644	3224	1774
645	3229	1769
646	3234	1764
647	3239	1759
648	3244	1754
649	3249	1749
650	3254	1744
651	3259	1739
652	3264	1734
653	3269	1729
654	3274	1724
655	3279	1719
656	3284	1714
657	3289	1709
658	3293	1704
659	3298	1699
660	3303	1694
661	3308	1689
662	3313	1684
663	3318	1679
664	3323	1674
665	3328	1669
666	3333	1664
667	3338	1659
668	3342	1653
669	3347	1649
670	3352	1644
671	3357	1638
672	3362	1633
673	3367	1628
674	3372	1623
675	3377	1618
676	3382	1613
677	3387	1608
678	3392	1603
679	3398	1599
680	3403	1594
681	3408	1589
682	3413	1584
683	3418	1579
684	3423	1574
685	3428	1569
686	3433	1564
687	3438	1559
688	3443	1554
689	3449	1549
690	3456	1545
691	3461	1540
692	3466	1535
693	3471	1530
694	3476	1525
695	3481	1520
696	3486	1515
697	3491	1510
698	3496	1505
699	3501	1500
700	3506	1495
701	3510	1490
702	3515	1485
703	3520	1480
704	3525	1475
705	3530	1470
706	3535	1465
707	3540	1460
708	3545	1455
709	3550	1450
710	3555	1445
711	3560	1440
712	3565	1435
713	3570	1430
714	3575	1425
715	3580	1420
716	3583	1414
717	3588	1409
718	3593	1404
719	3598	1399
720	3603	1394
721	3608	1389
722	3613	1384
723	3617	1379
724	3623	1374
725	3628	1369
726	3633	1364
727	3638	1359
728	3643	1354
729	3648	1349
730	3654	1344
731	3659	1339
732	3664	1334
733	3669	1329
734	3675	1325
735	3680	1320
736	3685	1315
737	3690	1310
738	3695	1305
739	3700	1300
740	3705	1295
741	3710	1290
742	3715	1285
743	3720	1280
744	3725	1275
745	3730	1270
746	3735	1265
747	3740	1260
748	3745	1255
749	3751	1250
750	3756	1245
751	3761	1240
752	3766	1235
753	3771	1230
754	3776	1225
755	3781	1220
756	3786	1215
757	3791	1210
758	3796	1205
759	3801	1200
760	3806	1195
761	3811	1190
762	3817	1185
763	3822	1180
764	3827	1175
765	3832	1170
766	3838	1165
767	3843	1160
768	3848	1155
769	3853	1150
770	3857	1145
771	3862	1140
772	3867	1135
773	3872	1130
774	3877	1125
775	3882	1120
776	3887	1115
777	3892	1110
778	3897	1105
779	3902	1100
780	3907	1095
781	3912	1090
782	3917	1085
783	3922	1080
784	3927	1075
785	3932	1070
786	3937	1065
787	3942	1060
788	3947	1055
789	3952	1050
790	3957	1045
791	3962	1040
792	3967	1035
793	3972	1030
794	3978	1025
795	3983	1020
796	3988	1015
797	3993	1010
798	3998	1005
799	4002	1000
800	4008	995
801	4013	990
802	4018	985
803	4022	980
804	4027	975
805	4032	970
806	4037	965
807	4042	960
808	4047	955
809	4052	950
810	4057	945
811	4062	940
812	4067	935
813	4072	930
814	4077	925
815	4082	920
816	4087	915
817	4092	910
818	4097	905
819	4102	900
820	4107	895
821	4112	890
822	4117	885
823	4122	880
824	4127	875
825	4132	870
826	4137	865
827	4142	860
828	4147	855
829	4152	850
830	4157	845
831	4162	840
832	4167	835
833	4172	830
834	4177	825
835	4181	820
836	4186	815
837	4191	810
838	4196	805
839	4201	800
840	4206	795
841	4211	790
842	4216	785
843	4221	780
844	4226	775
845	4230	770
846	4235	765
847	4240	760
848	4246	755
849	4251	750
850	4256	745
851	4261	740
852	4266	735
853	4271	730
854	4276	725
855	4281	720
856	4286	715
857	4291	710
858	4296	705
859	4301	700
860	4306	695
861	4311	690
862	4316	685
863	4321	680
864	4326	675
865	4331	670
866	4336	665
867	4341	660
868	4346	655
869	4352	650
870	4357	645
871	4362	640
872	4367	635
873	4372	630
874	4377	625
875	4382	620
876	4387	615
877	4392	610
878	4397	605
879	4402	600
880	4407	595
881	4412	590
882	4417	585
883	4422	580
884	4427	575
885	4434	570
886	4439	565
887	4444	560
888	4449	555
889	4454	550
890	4459	545
891	4464	540
892	4470	535
893	4475	530
894	4480	525
895	4484	520
896	4489	515
897	4494	510
898	4499	505
899	4504	500
900	4509	495
901	4514	490
902	4519	485
903	4524	480
904	4529	475
905	4534	470
906	4538	465
907	4543	460
908	4548	455
909	4553	450
910	4558	445
911	4563	440
912	4568	435
913	4573	430
914	4578	425
915	4583	420
916	4589	415
917	4594	410
918	4599	405
919	4604	400
920	4609	395
921	4614	390
922	4619	385
923	4624	380
924	4630	375
925	4635	370
926	4640	365
927	4645	360
928	4650	355
929	4655	350
930	4660	345
931	4665	340
932	4670	335
933	4675	330
934	4680	325
935	4685	320
936	4690	315
937	4695	310
938	4700	305
939	4705	300
940	4710	295
941	4715	290
942	4720	285
943	4725	280
944	4730	275
945	4735	270
946	4740	265
947	4745	260
948	4750	255
949	4755	250
950	4760	245
951	4765	240
952	4771	235
953	4776	230
954	4780	225
955	4785	220
956	4790	215
957	4795	210
958	4800	205
959	4805	200
960	4810	195
961	4815	190
962	4820	185
963	4825	180
964	4829	175
965	4834	170
966	4840	165
967	4845	160
968	4849	155
969	4854	150
970	4859	145
971	4864	140
972	4869	135
973	4874	130
974	4879	125
975	4885	120
976	4889	115
977	4894	110
978	4899	105
979	4904	100
980	4909	95
981	4914	90
982	4919	85
983	4924	80
984	4929	75
985	4934	70
986	4939	65
987	4944	60
988	4949	55
989	4954	50
990	4960	45
991	4965	40
992	4970	35
993	4975	30
994	4980	25
995	4985	20
996	4990	15
997	4995	10
998	5000	5
999	5005	0
